Rank_PTS,NAME,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,P/M
230,Shake Milton,PHI,26,76,52,24,20.6,8.4,3.2,6.6,47.9,0.7,1.9,37.8,1.3,1.5,85.3,0.5,2.0,2.5,3.2,1.2,0.3,0.2,1.6,16.4,3.0,0.0,1.9
231,Dorian Finney-Smith,BKN,30,66,31,35,30.4,8.3,3.0,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.9,0.8,0.5,2.2,19.6,2.0,0.0,-0.1
232,Terrence Ross,PHX,32,63,27,36,21.1,8.3,3.2,7.4,43.0,1.5,4.1,36.8,0.4,0.5,79.4,0.3,2.1,2.4,1.5,0.7,0.6,0.2,1.5,14.9,0.0,0.0,-1.2
234,Kevin Love,MIA,34,62,35,27,20.0,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,1.0,5.5,6.4,1.9,1.1,0.3,0.2,1.6,19.0,6.0,0.0,1.8
235,Nick Richards,CHA,25,65,21,44,18.7,8.2,3.0,4.8,62.9,0.0,0.0,100.0,2.1,2.8,74.9,2.3,4.1,6.4,0.6,0.9,0.2,1.1,2.4,19.6,14.0,0.0,-1.7
236,Georges Niang,PHI,29,78,51,27,19.4,8.2,2.8,6.4,44.2,2.0,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1.0,0.7,0.4,0.2,1.9,13.5,0.0,0.0,1.0
237,Damion Lee,PHX,30,74,40,34,20.4,8.2,2.7,6.1,44.2,1.5,3.3,44.5,1.3,1.4,90.4,0.5,2.5,3.0,1.3,1.1,0.4,0.1,1.6,14.3,0.0,0.0,1.1
239,Grant Williams,BOS,24,79,55,24,25.9,8.1,2.7,6.0,45.4,1.5,3.7,39.5,1.2,1.5,77.0,1.1,3.5,4.6,1.7,1.0,0.5,0.4,2.4,17.8,3.0,0.0,2.6
240,Jevon Carter,MIL,27,81,57,24,22.4,8.0,3.0,7.0,42.3,1.8,4.2,42.1,0.4,0.5,81.6,0.4,2.1,2.5,2.4,1.0,0.8,0.4,2.0,17.2,1.0,0.0,0.8
241,Kenrich Williams,OKC,28,53,26,27,22.8,8.0,3.4,6.5,51.7,0.9,2.5,37.3,0.3,0.7,43.6,1.8,3.1,4.9,2.0,0.6,0.8,0.3,2.1,19.6,2.0,0.0,1.4
245,Jarred Vanderbilt,LAL,24,78,43,35,24.1,7.9,3.2,5.8,54.8,0.4,1.2,32.2,1.2,1.8,69.1,2.2,5.3,7.5,2.4,1.2,1.1,0.3,2.4,23.2,10.0,0.0,-1.3
246,Ochai Agbaji,UTA,23,59,29,30,20.5,7.9,2.8,6.5,42.7,1.4,3.9,35.5,0.9,1.2,81.2,0.7,1.3,2.1,1.1,0.7,0.3,0.3,1.7,13.0,0.0,0.0,-0.3
249,Jeff Green,DEN,36,56,33,23,19.5,7.8,2.9,5.9,48.8,0.5,1.9,28.8,1.6,2.1,74.4,0.7,1.9,2.6,1.2,0.8,0.3,0.3,1.8,13.8,0.0,0.0,-3.4
250,Tre Mann,OKC,22,67,31,36,17.7,7.7,2.9,7.5,39.3,1.2,3.8,31.5,0.6,0.8,76.4,0.4,1.9,2.3,1.8,0.9,0.6,0.2,1.5,14.5,1.0,1.0,0.9
251,Pat Connaughton,MIL,30,61,43,18,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.5,0.6,0.2,1.1,16.9,2.0,0.0,2.2
252,Joe Harris,BKN,31,74,40,34,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,0.3,1.9,2.2,1.4,0.6,0.5,0.2,1.9,13.7,0.0,0.0,-0.3
252,Trey Lyles,SAC,27,74,43,31,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.9,0.4,0.4,1.3,15.3,1.0,0.0,1.4
255,Torrey Craig,PHX,32,79,44,35,24.7,7.4,2.9,6.3,45.6,1.3,3.2,39.5,0.4,0.6,71.1,1.8,3.6,5.4,1.5,0.9,0.6,0.8,2.3,19.5,4.0,0.0,-2.2
256,Obi Toppin,NYK,25,67,37,30,15.7,7.4,2.8,6.3,44.6,1.3,3.7,34.4,0.6,0.7,80.9,0.4,2.4,2.8,1.0,0.6,0.3,0.2,1.0,13.2,0.0,0.0,0.9
257,Trendon Watford,POR,22,62,26,36,19.1,7.4,2.9,5.2,56.0,0.4,1.0,39.1,1.2,1.6,72.0,0.7,3.2,3.8,2.1,1.1,0.5,0.2,1.9,16.1,3.0,0.0,-2.9
258,Devonte' Graham,SAS,28,73,31,42,18.3,7.4,2.2,5.9,37.4,1.6,4.6,35.2,1.3,1.8,74.8,0.3,1.4,1.7,2.7,0.7,0.6,0.2,1.1,15.2,0.0,0.0,-2.2
259,Delon Wright,WAS,31,50,26,24,24.4,7.4,2.8,5.8,47.4,0.8,2.4,34.5,1.0,1.2,86.7,1.2,2.4,3.6,3.9,0.9,1.8,0.3,1.2,23.2,0.0,0.0,1.4
260,Mitchell Robinson,NYK,25,59,35,24,26.9,7.4,3.2,4.7,67.1,0.0,0.0,0.0,1.0,2.1,48.4,4.5,4.9,9.4,0.9,0.7,0.9,1.8,2.7,27.7,13.0,0.0,3.1
261,Josh Okogie,PHX,24,72,38,34,18.8,7.3,2.3,5.8,39.1,0.9,2.7,33.5,1.9,2.7,72.4,1.5,2.0,3.5,1.5,0.9,0.8,0.5,1.6,16.6,2.0,0.0,1.5
263,Isaiah Jackson,IND,21,63,24,39,16.5,7.2,2.8,5.0,56.3,0.0,0.2,14.3,1.5,2.3,65.1,1.8,2.7,4.5,0.8,0.8,0.5,1.5,2.4,18.9,5.0,0.0,-2.0
264,Reggie Bullock,DAL,32,78,37,41,30.3,7.2,2.5,6.0,40.9,1.9,5.1,38.0,0.3,0.5,70.3,0.4,3.2,3.6,1.4,0.5,0.7,0.2,2.1,15.7,1.0,0.0,-1.1
266,Edmond Sumner,BKN,27,53,33,20,13.9,7.1,2.3,5.1,46.1,0.6,1.6,35.6,1.9,2.0,91.7,0.2,1.2,1.5,1.3,0.9,0.6,0.2,1.6,12.2,0.0,0.0,0.5
267,Troy Brown Jr.,LAL,23,76,40,36,24.5,7.1,2.6,6.1,43.0,1.4,3.7,38.1,0.4,0.5,87.2,0.8,3.2,4.1,1.3,0.6,0.8,0.2,1.6,16.2,2.0,0.0,-0.2
268,Kendrick Nunn,WAS,27,70,30,40,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,0.2,1.3,1.6,1.3,0.9,0.4,0.1,0.9,11.4,0.0,0.0,-0.8
269,Kevon Looney,GSW,27,82,44,38,23.9,7.0,3.0,4.7,63.0,0.0,0.0,0.0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.5,0.6,0.6,2.7,25.1,14.0,0.0,1.9
270,Xavier Tillman,MEM,24,61,40,21,19.3,7.0,3.1,5.0,61.4,0.1,0.2,26.7,0.8,1.5,55.1,2.0,3.0,5.0,1.6,0.7,1.0,0.5,1.6,19.0,4.0,0.0,0.0
281,Cory Joseph,DET,31,62,12,50,19.8,6.9,2.4,5.7,42.7,1.1,2.9,38.9,0.9,1.2,79.2,0.3,1.4,1.7,3.5,0.9,0.5,0.1,1.4,15.4,0.0,0.0,-1.8
283,Aaron Wiggins,OKC,24,70,37,33,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1.0,83.1,1.0,2.0,3.0,1.1,0.8,0.6,0.2,1.6,13.7,1.0,0.0,0.1
285,Larry Nance Jr.,NOP,30,65,34,31,21.2,6.8,2.9,4.7,61.0,0.2,0.6,33.3,0.8,1.2,69.6,1.6,3.8,5.4,1.8,0.6,0.9,0.6,2.0,19.7,3.0,0.0,2.8
286,Will Barton,TOR,32,56,27,29,17.7,6.8,2.5,6.5,37.9,1.2,3.2,36.7,0.7,0.8,78.7,0.3,2.2,2.4,2.0,0.9,0.5,0.2,1.0,14.0,0.0,0.0,-3.0
288,Terence Davis,SAC,26,64,38,26,13.1,6.7,2.4,5.7,42.3,1.4,3.8,36.6,0.5,0.7,79.1,0.3,1.9,2.2,1.0,0.8,0.7,0.2,1.6,12.7,0.0,0.0,0.7
290,Anthony Lamb,GSW,25,62,36,26,19.3,6.7,2.4,5.1,47.1,1.2,3.2,36.7,0.7,1.0,76.7,0.9,2.6,3.5,1.5,0.9,0.5,0.3,2.2,14.6,0.0,0.0,0.5
291,Dwight Powell,DAL,31,76,37,39,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,2.0,2.2,4.1,0.9,0.9,0.6,0.3,2.8,15.0,1.0,0.0,2.2
292,David Roddy,MEM,22,70,44,26,18.0,6.7,2.6,6.0,42.9,0.9,3.0,30.7,0.6,0.9,63.1,0.7,2.0,2.8,0.8,0.8,0.4,0.3,1.5,12.5,0.0,0.0,-0.9
293,Isaiah Livers,DET,24,52,10,42,23.1,6.7,2.3,5.5,41.7,1.4,3.9,36.5,0.6,0.8,82.1,0.5,2.2,2.8,0.8,0.6,0.5,0.5,2.0,13.8,1.0,0.0,-3.9
294,Nassir Little,POR,23,54,22,32,18.1,6.6,2.5,5.6,44.2,1.1,2.9,36.7,0.6,0.9,71.7,0.5,2.1,2.6,0.9,0.7,0.4,0.4,1.2,12.7,0.0,0.0,-3.5
295,Drew Eubanks,POR,26,78,31,47,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.9,0.5,1.3,2.2,19.7,3.0,0.0,-1.7
296,Jock Landale,PHX,27,69,35,34,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25.0,1.1,1.5,75.2,1.7,2.3,4.1,1.0,0.9,0.2,0.4,1.8,14.1,3.0,0.0,2.0
298,Kevin Knox II,POR,23,63,12,51,15.1,6.6,2.4,5.3,45.8,1.0,3.0,34.9,0.7,1.0,76.7,0.5,2.3,2.8,0.5,0.8,0.4,0.2,1.5,11.7,2.0,0.0,-3.6
299,Jordan Goodwin,WAS,24,62,22,40,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,0.9,2.4,3.3,2.7,0.9,0.9,0.4,1.5,17.7,0.0,0.0,-1.9
304,Isaac Okoro,CLE,22,76,48,28,21.7,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.6,0.7,0.4,2.1,14.0,0.0,0.0,1.7
306,JaMychal Green,GSW,32,57,30,27,14.0,6.4,2.4,4.4,54.0,0.7,1.9,37.8,0.9,1.2,77.6,1.3,2.3,3.6,0.9,0.9,0.4,0.4,1.8,13.7,0.0,0.0,-2.7
307,Sam Hauser,BOS,25,80,55,25,16.1,6.4,2.3,5.0,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.4,0.3,1.2,12.3,0.0,0.0,2.7
309,Dario Saric,OKC,29,57,26,31,14.1,6.4,2.2,4.9,45.8,0.8,2.0,39.1,1.1,1.3,82.9,0.9,2.7,3.6,1.3,1.0,0.4,0.1,1.7,13.1,2.0,0.0,0.6
310,Simone Fontecchio,UTA,27,52,25,27,14.7,6.3,2.2,6.0,36.9,1.2,3.7,33.0,0.7,0.8,79.5,0.6,1.1,1.7,0.8,0.8,0.3,0.2,1.2,10.1,0.0,0.0,-3.9
311,Goran Dragic,MIL,37,58,27,31,15.0,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,1.1,0.2,0.1,1.1,11.7,0.0,0.0,0.1
313,Patrick Beverley,CHI,34,67,34,33,27.1,6.2,2.1,5.4,40.0,1.2,3.6,33.5,0.7,1.0,72.3,0.7,3.0,3.7,2.9,0.9,0.9,0.6,2.8,18.7,2.0,0.0,-1.2
315,Nickeil Alexander-Walker,MIN,24,59,29,30,15.0,6.2,2.2,5.0,44.4,1.0,2.7,38.4,0.7,1.0,66.7,0.3,1.5,1.7,1.8,0.9,0.5,0.4,1.5,12.7,0.0,0.0,-0.9
317,Nicolas Batum,LAC,34,78,44,34,21.9,6.1,2.1,4.9,42.0,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3.0,3.8,1.6,0.6,0.7,0.6,1.9,16.2,0.0,0.0,2.1
318,Oshae Brissett,IND,24,65,27,38,16.7,6.1,1.9,4.9,38.6,0.7,2.4,31.0,1.6,2.2,71.7,1.0,2.4,3.4,0.7,0.5,0.5,0.2,1.2,12.8,1.0,0.0,0.3
321,Mike Muscala,BOS,31,63,32,31,15.0,6.1,2.1,4.6,44.9,1.3,3.3,39.1,0.6,0.8,76.9,0.6,2.6,3.2,0.8,0.4,0.2,0.4,1.6,12.6,0.0,0.0,3.2
324,Andre Drummond,CHI,29,67,32,35,12.7,6.0,2.5,4.1,60.6,0.0,0.0,0.0,1.0,1.9,53.6,2.1,4.6,6.6,0.5,1.1,0.7,0.4,1.7,16.8,8.0,0.0,0.4
328,Josh Christopher,HOU,21,64,16,48,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75.0,0.3,0.8,1.1,1.1,0.9,0.5,0.2,0.9,10.2,0.0,0.0,-3.5
333,Jalen Johnson,ATL,21,70,35,35,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4.0,1.2,0.6,0.5,0.5,1.6,14.8,1.0,0.0,-0.1
335,Davion Mitchell,SAC,24,80,47,33,18.1,5.6,2.3,5.0,45.4,0.8,2.5,32.0,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.8,0.6,0.2,1.4,12.1,0.0,0.0,0.0
338,Montrezl Harrell,PHI,29,57,35,22,11.9,5.6,2.2,3.7,59.8,0.0,0.1,0.0,1.2,1.8,69.3,1.2,1.6,2.8,0.6,0.6,0.3,0.4,1.3,11.4,1.0,0.0,0.3
339,Alex Caruso,CHI,29,67,33,34,23.5,5.6,1.9,4.3,45.5,0.8,2.3,36.4,0.9,1.1,80.8,0.6,2.3,2.9,2.9,1.1,1.5,0.7,2.4,18.7,1.0,0.0,3.0
340,Yuta Watanabe,BKN,28,58,30,28,16.0,5.6,2.0,4.0,49.1,1.0,2.3,44.4,0.6,0.8,72.3,0.5,1.9,2.4,0.8,0.4,0.4,0.3,1.4,11.5,0.0,0.0,-0.1
344,Wenyen Gabriel,LAL,26,68,37,31,15.1,5.5,2.3,3.8,59.6,0.1,0.5,27.8,0.8,1.2,61.9,1.7,2.5,4.2,0.5,0.7,0.4,0.5,2.1,13.3,0.0,0.0,-0.5
348,Lamar Stevens,CLE,25,62,39,23,18.1,5.3,2.1,4.6,44.8,0.5,1.5,31.6,0.6,0.9,70.2,0.8,2.6,3.3,0.5,0.4,0.4,0.3,1.3,11.9,1.0,0.0,0.1
350,Rudy Gay,UTA,36,56,29,27,14.6,5.2,1.9,5.1,37.8,0.6,2.3,25.2,0.8,0.9,85.7,0.6,2.3,2.9,1.0,0.7,0.3,0.3,1.2,11.6,0.0,0.0,1.0
351,Zeke Nnaji,DEN,22,53,34,19,13.7,5.2,2.1,3.7,56.1,0.3,1.2,26.2,0.8,1.2,64.5,1.2,1.4,2.6,0.3,0.6,0.3,0.4,2.0,10.5,1.0,0.0,-1.8
356,MarJon Beauchamp,MIL,22,52,34,18,13.5,5.1,1.8,4.7,39.5,0.9,2.7,33.1,0.5,0.7,73.0,0.7,1.5,2.2,0.7,0.9,0.4,0.1,1.3,9.5,0.0,0.0,-1.9
358,John Konchar,MEM,27,72,45,27,20.7,5.1,1.9,4.4,43.1,0.8,2.5,33.9,0.4,0.5,77.8,0.9,3.4,4.3,1.4,0.5,1.1,0.3,1.6,16.0,2.0,0.0,2.9
364,Derrick Jones Jr.,CHI,26,64,29,35,14.0,5.0,1.8,3.6,50.0,0.4,1.3,33.8,1.0,1.3,73.8,0.9,1.5,2.4,0.5,0.4,0.5,0.6,1.3,11.4,0.0,0.0,1.9
367,Isaiah Hartenstein,NYK,25,82,47,35,19.9,5.0,2.1,4.0,53.5,0.1,0.5,21.6,0.6,0.9,67.6,2.5,4.0,6.5,1.2,0.8,0.6,0.8,2.6,18.1,2.0,0.0,1.8
368,Vlatko Cancar,DEN,26,60,38,22,14.8,5.0,1.8,3.8,47.6,0.7,1.9,37.4,0.6,0.7,92.7,0.4,1.7,2.1,1.3,0.6,0.4,0.2,1.4,10.7,1.0,0.0,-1.1
370,Austin Rivers,MIN,30,52,25,27,19.5,4.9,1.8,4.0,43.5,0.8,2.4,35.0,0.6,0.8,76.9,0.1,1.5,1.6,1.4,0.4,0.5,0.1,1.5,10.4,0.0,0.0,-2.7
371,Chimezie Metu,SAC,26,66,41,25,10.4,4.9,2.0,3.3,58.9,0.1,0.6,23.7,0.8,1.1,74.0,0.7,2.3,3.0,0.6,0.5,0.3,0.3,1.2,10.8,0.0,0.0,1.3
373,Moses Moody,GSW,20,63,37,26,13.0,4.8,1.7,3.6,47.6,0.8,2.1,36.3,0.6,0.8,69.8,0.4,1.2,1.7,0.8,0.5,0.3,0.1,0.9,8.7,0.0,0.0,-0.1
374,Danuel House Jr.,PHI,29,56,38,18,14.4,4.8,1.7,3.5,47.2,0.7,2.0,33.6,0.8,1.1,75.0,0.2,1.5,1.7,0.8,0.5,0.3,0.2,1.2,8.7,0.0,0.0,-0.3
376,Garrison Mathews,ATL,26,54,16,38,12.7,4.8,1.4,3.7,36.3,1.2,3.3,35.0,0.9,1.0,90.6,0.2,1.1,1.4,0.5,0.4,0.4,0.1,1.1,8.4,0.0,0.0,-1.6
378,Christian Braun,DEN,22,76,49,27,15.5,4.7,1.9,3.8,49.5,0.4,1.3,35.4,0.5,0.8,62.5,0.6,1.8,2.4,0.8,0.5,0.5,0.2,1.3,10.6,0.0,0.0,-1.5
383,Malachi Flynn,TOR,25,53,29,24,13.0,4.6,1.6,4.6,36.0,0.9,2.5,35.3,0.5,0.6,75.8,0.3,1.2,1.4,1.3,0.5,0.4,0.1,1.2,9.3,0.0,0.0,-0.8
389,Thaddeus Young,TOR,34,54,23,31,14.7,4.4,2.0,3.7,54.5,0.1,0.6,17.6,0.3,0.5,69.2,1.3,1.8,3.1,1.4,0.8,1.0,0.1,1.6,12.7,0.0,0.0,-1.7
395,Haywood Highsmith,MIA,26,54,28,26,18.0,4.4,1.7,4.0,43.1,0.7,2.0,33.9,0.2,0.5,46.4,1.1,2.4,3.5,0.8,0.8,0.7,0.3,1.5,11.9,2.0,0.0,-1.9
396,Bismack Biyombo,PHX,30,61,33,28,14.3,4.3,2.0,3.4,57.8,0.0,0.0,0.0,0.4,1.1,35.7,1.5,2.8,4.3,0.9,0.8,0.3,1.4,1.9,15.2,3.0,0.0,0.8
403,Ish Wainright,PHX,28,60,33,27,15.3,4.2,1.4,3.8,37.0,1.0,2.9,32.9,0.4,0.5,83.9,0.8,1.6,2.3,0.9,0.4,0.6,0.4,2.0,10.9,0.0,0.0,1.5
404,Paul Reed,PHI,23,69,44,25,10.9,4.2,1.8,3.0,59.3,0.0,0.1,16.7,0.6,0.7,74.5,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,12.8,5.0,0.0,-0.2
407,Matisse Thybulle,POR,26,71,38,33,16.9,4.1,1.5,3.6,43.5,0.8,2.1,36.5,0.3,0.4,67.9,0.6,1.4,2.0,0.7,0.3,1.2,0.5,1.6,12.1,0.0,0.0,-0.2
411,Daishen Nix,HOU,21,57,15,42,16.0,4.0,1.4,4.2,34.2,0.7,2.5,28.6,0.4,0.6,66.7,0.3,1.4,1.7,2.3,1.5,0.5,0.1,1.0,10.0,0.0,0.0,-2.6
415,Aaron Holiday,ATL,26,63,32,31,13.4,3.9,1.5,3.5,41.8,0.6,1.4,40.9,0.4,0.5,84.4,0.4,0.8,1.2,1.4,0.6,0.6,0.2,1.3,9.2,0.0,0.0,0.3
417,Jabari Walker,POR,20,56,21,35,11.1,3.9,1.5,3.5,41.9,0.3,1.0,28.6,0.6,0.8,75.6,0.9,1.5,2.3,0.6,0.5,0.2,0.2,1.2,8.3,0.0,0.0,-2.1
419,Dyson Daniels,NOP,20,59,33,26,17.7,3.8,1.5,3.5,41.8,0.5,1.5,31.4,0.4,0.7,65.0,0.6,2.6,3.2,2.3,1.0,0.7,0.2,1.7,12.9,0.0,0.0,-0.1
421,JT Thor,CHA,20,69,22,47,14.0,3.8,1.4,3.4,39.9,0.6,1.8,31.7,0.5,0.7,70.2,0.5,1.7,2.2,0.5,0.6,0.3,0.3,1.0,8.5,0.0,0.0,-2.4
422,Caleb Houstan,ORL,20,51,20,31,15.9,3.8,1.3,3.6,36.3,0.9,2.7,33.8,0.3,0.4,83.3,0.7,1.3,1.9,0.6,0.4,0.2,0.1,1.2,7.8,0.0,0.0,-1.6
424,Luke Kornet,BOS,27,69,45,24,11.7,3.8,1.6,2.5,66.5,0.0,0.2,23.1,0.5,0.6,82.1,1.2,1.6,2.9,0.8,0.4,0.2,0.7,1.2,10.5,0.0,0.0,0.9
434,P.J. Tucker,PHI,38,75,48,27,25.6,3.5,1.3,3.0,42.7,0.7,1.9,39.3,0.3,0.3,82.6,1.3,2.7,3.9,0.8,0.6,0.5,0.2,2.4,11.0,0.0,0.0,1.8
436,Miles McBride,NYK,22,64,36,28,11.9,3.5,1.2,3.4,35.8,0.6,2.1,29.9,0.4,0.7,66.7,0.2,0.6,0.8,1.1,0.4,0.6,0.1,0.9,7.8,0.0,0.0,0.8
438,Wesley Matthews,MIL,36,52,37,15,15.8,3.4,1.1,3.1,36.3,0.8,2.4,31.5,0.5,0.5,85.7,0.7,1.5,2.2,0.7,0.3,0.4,0.3,1.4,8.6,0.0,0.0,1.0
439,Amir Coffey,LAC,25,50,26,24,12.5,3.4,1.1,2.9,38.6,0.2,0.8,27.5,1.0,1.3,77.8,0.3,0.7,1.1,1.1,0.4,0.1,0.1,1.0,6.6,0.0,0.0,-2.3
442,Jericho Sims,NYK,24,52,31,21,15.6,3.4,1.6,2.1,77.6,0.0,0.0,0.0,0.2,0.3,75.0,1.9,2.8,4.7,0.5,0.5,0.3,0.5,1.8,11.7,2.0,0.0,-2.2
444,Anthony Gill,WAS,30,59,21,38,10.6,3.3,1.2,2.2,53.8,0.1,0.5,13.8,0.8,1.1,73.1,0.6,1.1,1.7,0.6,0.3,0.1,0.2,1.2,6.9,0.0,0.0,-0.2
449,Christian Koloko,TOR,22,58,29,29,13.8,3.1,1.2,2.6,48.0,0.0,0.2,8.3,0.6,1.0,62.7,1.4,1.5,2.9,0.5,0.3,0.4,1.0,2.2,11.2,0.0,0.0,2.7
455,Usman Garuba,HOU,21,75,21,54,12.9,3.0,1.1,2.4,48.6,0.3,0.8,40.7,0.4,0.6,61.7,1.6,2.5,4.1,0.9,0.6,0.6,0.4,1.8,11.5,0.0,0.0,-3.4
461,Juan Toscano-Anderson,UTA,30,52,19,33,13.5,3.0,1.2,2.8,44.8,0.2,0.8,18.6,0.4,0.5,79.2,0.5,1.8,2.4,1.3,0.7,0.3,0.2,1.5,8.6,0.0,0.0,-2.8
